<html><head><meta http-equiv="Content-Type" content="text/html; charset=windows-1252">

<title>Estação - 83075</title>
   <!-- FACE BOX -->
   <script src="Esta%C3%A7%C3%A3o%20-%2083075_files/jquery.js" type="text/javascript"></script>
   <link href="Esta%C3%A7%C3%A3o%20-%2083075_files/facebox.css" media="screen" rel="stylesheet" type="text/css">

   <script src="Esta%C3%A7%C3%A3o%20-%2083075_files/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<body><pre>--------------------
BDMEP - INMET
--------------------
Estação           : GUARULHOS - SP (OMM: 83075)
Latitude  (graus) : -23.43
Longitude (graus) : -46.46
Altitude  (metros): 735.00
Estação Operante
Inicio de operação: 03/09/1983
Periodo solicitado dos dados: 01/01/1900 a 01/06/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <a href="http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html" target="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83075;01/07/1983;0000;;;;4.2;7;;;2.3;
83075;01/07/1983;1200;0;;;;;;;;
83075;02/07/1983;0000;;;;3.2;2.6;;;1.5;
83075;02/07/1983;1200;0;;;;;;;;
83075;03/07/1983;0000;;;;7.2;4.8;;;3.1;
83075;03/07/1983;1200;0.2;;;;;;;;
83075;04/07/1983;0000;;;;7.6;4.8;;;1.5;
83075;04/07/1983;1200;0;;;;;;;;
83075;05/07/1983;0000;;;;1.9;4.2;;;1.5;
83075;05/07/1983;1200;0;;;;;;;;
83075;06/07/1983;0000;;;;0.5;3.7;;;2.8;
83075;06/07/1983;1200;0;;;;;;;;
83075;07/07/1983;0000;;;;4.8;1.5;;;2.6;
83075;07/07/1983;1200;0;;;;;;;;
83075;08/07/1983;0000;;;;7.4;9.5;;;2.1;
83075;08/07/1983;1200;0;;;;;;;;
83075;09/07/1983;0000;;;;3;8.4;;;2.1;
83075;09/07/1983;1200;0;;;;;;;;
83075;10/07/1983;0000;;;;7.9;5;;;2.1;
83075;10/07/1983;1200;0;;;;;;;;
83075;11/07/1983;0000;;;;7.7;6.8;;;0.3;
83075;11/07/1983;1200;0;;;;;;;;
83075;12/07/1983;0000;;28;;6.6;5.7;;;0.5;
83075;12/07/1983;1200;0;;;;;;;;
83075;13/07/1983;0000;;21.4;;5.5;3.7;;;2.6;
83075;13/07/1983;1200;0;;;;;;;;
83075;14/07/1983;0000;;25;;8.1;1.5;;;0;
83075;14/07/1983;1200;0;;;;;;;;
83075;15/07/1983;0000;;25;;5.5;4.4;;;;
83075;15/07/1983;1200;0;;;;;;;;
83075;16/07/1983;0000;;26.2;;5.7;2.5;;;;
83075;16/07/1983;1200;0;;;;;;;;
83075;17/07/1983;0000;;21.8;;1.2;2;;;0.5;
83075;17/07/1983;1200;0;;;;;;;;
83075;18/07/1983;0000;;14.1;;0;2.3;;;;
83075;18/07/1983;1200;8.2;;;;;;;;
83075;19/07/1983;0000;;13.5;;0;1;;;0.5;
83075;19/07/1983;1200;0;;;;;;;;
83075;20/07/1983;0000;;16.4;;0;0.2;;;;
83075;20/07/1983;1200;5.3;;;;;;;;
83075;21/07/1983;0000;;16.4;;0.8;0.5;;;;
83075;21/07/1983;1200;27.1;;;;;;;;
83075;22/07/1983;0000;;17;;5.7;0.7;;;;
83075;22/07/1983;1200;0;;;;;;;;
83075;23/07/1983;0000;;24.8;;6.9;1.4;;;;
83075;23/07/1983;1200;0;;;;;;;;
83075;24/07/1983;0000;;20.4;;7.8;2.1;;;;
83075;24/07/1983;1200;0;;;;;;;;
83075;25/07/1983;0000;;27.4;;5.1;2.8;;;;
83075;25/07/1983;1200;0;;;;;;;;
83075;26/07/1983;0000;;18.8;;0;3.4;;;1.3;
83075;26/07/1983;1200;0;;;;;;;;
83075;27/07/1983;0000;;23.6;;5.6;1.4;;;3.1;
83075;27/07/1983;1200;0;;;;;;;;
83075;28/07/1983;0000;;26.6;;6.8;2.1;;;2.1;
83075;28/07/1983;1200;0;;;;;;;;
83075;29/07/1983;0000;;25.4;;3.4;3.5;;;0;
83075;29/07/1983;1200;0;;;;;;;;
83075;30/07/1983;0000;;27;;7.4;2.3;;;0.5;
83075;30/07/1983;1200;0;;;;;;;;
83075;31/07/1983;0000;;26.6;;5.8;4.2;;;0.5;
83075;31/07/1983;1200;0;;;;;;;;
83075;01/08/1983;0000;;;;;;;;0.5;
83075;01/08/1983;1200;0;;;;;;;;
83075;02/08/1983;0000;;17;;2.9;3.2;;;2.5;
83075;02/08/1983;1200;20.4;;;;;;;;
83075;03/08/1983;0000;;14.4;;4.2;1.7;;;2.6;
83075;03/08/1983;1200;1;;;;;;;;
