<html><head><meta http-equiv="Content-Type" content="text/html; charset=windows-1252">

<title>Estação - 83623</title>
   <!-- FACE BOX -->
   <script src="Esta%C3%A7%C3%A3o%20-%2083623_files/jquery.js" type="text/javascript"></script>
   <link href="Esta%C3%A7%C3%A3o%20-%2083623_files/facebox.css" media="screen" rel="stylesheet" type="text/css">

   <script src="Esta%C3%A7%C3%A3o%20-%2083623_files/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<body><pre>--------------------
BDMEP - INMET
--------------------
Estação           : VOTUPORANGA - SP (OMM: 83623)
Latitude  (graus) : -20.41
Longitude (graus) : -49.98
Altitude  (metros): 502.50
Estação Operante
Inicio de operação: 05/07/1976
Periodo solicitado dos dados: 01/01/1900 a 01/06/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <a href="http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html" target="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83623;01/10/1976;0000;;;;7.3;6.1;;91;0.666667;
83623;01/10/1976;1200;;;11.2;;;;;;
83623;02/10/1976;0000;;;;10.8;4.2;;92.75;0.666667;
83623;02/10/1976;1200;0;;8.1;;;;;;
83623;03/10/1976;0000;;;;8.8;6.3;;91;0.666667;
83623;03/10/1976;1200;0;;14.9;;;;;;
83623;04/10/1976;0000;;;;10.7;10.5;;90.5;2.666667;
83623;04/10/1976;1200;0;;13.5;;;;;;
83623;05/10/1976;0000;;;;0;10.5;;99;2;
83623;05/10/1976;1200;0;;9.1;;;;;;
83623;06/10/1976;0000;;;;9.3;0;;93;1;
83623;06/10/1976;1200;0;;9.9;;;;;;
83623;07/10/1976;0000;;;;10.9;4.6;;94.75;1.666667;
83623;07/10/1976;1200;0;;6.5;;;;;;
83623;08/10/1976;0000;;;;8.3;6.3;;91.5;3.666667;
83623;08/10/1976;1200;0;;11.2;;;;;;
83623;09/10/1976;0000;;;;2.3;10.9;;98;4;
83623;09/10/1976;1200;25.4;;10.9;;;;;;
83623;10/10/1976;0000;;;;11;1.8;;90.25;0.666667;
83623;10/10/1976;1200;11.4;;18.3;;;;;;
83623;11/10/1976;0000;;;;11.2;1.8;;90.25;0;
83623;11/10/1976;1200;0;;8.7;;;;;;
83623;12/10/1976;0000;;;;10.9;5.5;;84.5;1;
83623;12/10/1976;1200;0;;9.1;;;;;;
83623;13/10/1976;0000;;;;10.2;5.8;;82.75;1;
83623;13/10/1976;1200;0;;9.7;;;;;;
83623;14/10/1976;0000;;;;10.9;11.3;;70.25;0.666667;
83623;14/10/1976;1200;0;;14.1;;;;;;
83623;15/10/1976;0000;;;;10.7;11.6;;80;0.333333;
83623;15/10/1976;1200;0;;14.8;;;;;;
