<html><head><meta http-equiv="Content-Type" content="text/html; charset=windows-1252">

<title>Estação - 83630</title>
   <!-- FACE BOX -->
   <script src="Esta%C3%A7%C3%A3o%20-%2083630_files/jquery.js" type="text/javascript"></script>
   <link href="Esta%C3%A7%C3%A3o%20-%2083630_files/facebox.css" media="screen" rel="stylesheet" type="text/css">

   <script src="Esta%C3%A7%C3%A3o%20-%2083630_files/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<body><pre>--------------------
BDMEP - INMET
--------------------
Estação           : FRANCA - SP (OMM: 83630)
Latitude  (graus) : -20.58
Longitude (graus) : -47.36
Altitude  (metros): 1026.20
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/1900 a 01/06/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <a href="http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html" target="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83630;01/01/1961;0000;;23.8;;;2;19.64;93.75;6.666667;
83630;01/01/1961;1200;;;17.4;;;;;;
83630;02/01/1961;0000;;23;;;0.5;19.68;97.5;6.666667;
83630;02/01/1961;1200;21;;17.2;;;;;;
83630;03/01/1961;0000;;26.2;;;0.8;20.56;92.25;4;
83630;03/01/1961;1200;11.9;;17.8;;;;;;
83630;04/01/1961;0000;;22.2;;;0.7;19.64;97.75;4;
83630;04/01/1961;1200;9.9;;18;;;;;;
83630;05/01/1961;0000;;24.8;;;0.9;20.28;92;2.666667;
83630;05/01/1961;1200;10.5;;18;;;;;;
83630;06/01/1961;0000;;23.6;;;1.2;20.28;96.5;2.666667;
83630;06/01/1961;1200;27.3;;18;;;;;;
83630;07/01/1961;0000;;24.4;;;0.6;20.6;94.75;2.666667;
83630;07/01/1961;1200;15.4;;17.2;;;;;;
83630;08/01/1961;0000;;27.4;;;0.8;21.84;94.75;1.333333;
83630;08/01/1961;1200;7.2;;18.8;;;;;;
83630;09/01/1961;0000;;23.4;;;1.5;20.6;97.25;2;
83630;09/01/1961;1200;12.2;;18.2;;;;;;
83630;10/01/1961;0000;;26.8;;;1;22.4;85.25;4;
83630;10/01/1961;1200;12.7;;18;;;;;;
83630;11/01/1961;0000;;27.2;;;2;21;84.25;2.666667;
83630;11/01/1961;1200;1.2;;16.2;;;;;;
83630;12/01/1961;0000;;26.5;;;2;19.9;88.5;4.666667;
83630;12/01/1961;1200;3.8;;17.2;;;;;;
83630;13/01/1961;0000;;25;;;1;19.96;84.25;2.666667;
83630;13/01/1961;1200;26.7;;15.8;;;;;;
83630;14/01/1961;0000;;24;;;3;20.24;87;2.666667;
83630;14/01/1961;1200;0;;16;;;;;;
83630;15/01/1961;0000;;27.8;;;1.5;20.94;84;3.333333;
83630;15/01/1961;1200;34.7;;16.9;;;;;;
83630;16/01/1961;0000;;28.2;;;2.5;21.2;77.75;3.333333;
83630;16/01/1961;1200;8.2;;16.8;;;;;;
83630;17/01/1961;0000;;29;;;3.5;21.72;76.5;3.333333;
83630;17/01/1961;1200;1.8;;16.6;;;;;;
83630;18/01/1961;0000;;30;;;4.5;23.32;69;2;
83630;18/01/1961;1200;0;;18.2;;;;;;
83630;19/01/1961;0000;;28.2;;;4.5;22.2;76.5;2.666667;
83630;19/01/1961;1200;0;;18.4;;;;;;
83630;20/01/1961;0000;;27.4;;;2;22.4;78;2;
83630;20/01/1961;1200;2.1;;16.8;;;;;;
83630;21/01/1961;0000;;26.8;;;2;21.6;86.5;2;
83630;21/01/1961;1200;23.2;;17.2;;;;;;
83630;22/01/1961;0000;;28.4;;;2.3;21.52;82.5;3.333333;
83630;22/01/1961;1200;4.2;;16.6;;;;;;
83630;23/01/1961;0000;;28.3;;;2.2;21.62;83;3.333333;
83630;23/01/1961;1200;28.1;;18.8;;;;;;
83630;24/01/1961;0000;;26;;;2;21.24;93;2.666667;
83630;24/01/1961;1200;1;;17.8;;;;;;
83630;25/01/1961;0000;;26.4;;;0.8;21.16;94.5;2;
83630;25/01/1961;1200;10.8;;17.8;;;;;;
83630;26/01/1961;0000;;24.4;;;1;20.16;95.25;3.333333;
83630;26/01/1961;1200;14.8;;17.8;;;;;;
83630;27/01/1961;0000;;19.8;;;0.7;17.54;92.25;6;
83630;27/01/1961;1200;35.7;;15.9;;;;;;
83630;28/01/1961;0000;;23.4;;;1.5;19.68;84.5;4;
83630;28/01/1961;1200;2.4;;16;;;;;;
83630;29/01/1961;0000;;26.2;;;1.5;20.04;91.75;4;
83630;29/01/1961;1200;19.6;;16.8;;;;;;
83630;30/01/1961;0000;;26.4;;;0.5;20.64;84;2.666667;
83630;30/01/1961;1200;2.3;;16.6;;;;;;
83630;31/01/1961;0000;;26.2;;;2.5;21.34;84;2;
83630;31/01/1961;1200;0;;17.3;;;;;;
83630;01/02/1961;0000;;28.2;;;2.3;20.88;84.75;3.333333;
83630;01/02/1961;1200;6.9;;16.6;;;;;;
83630;02/02/1961;0000;;27.6;;;3.7;21.28;85.5;2;
83630;02/02/1961;1200;0.3;;16.4;;;;;;
83630;03/02/1961;0000;;29.4;;;2.3;22.66;75.75;2;
83630;03/02/1961;1200;3.3;;17.4;;;;;;
83630;04/02/1961;0000;;28.3;;;3.4;21.94;82;2.666667;
83630;04/02/1961;1200;0;;18.2;;;;;;
83630;05/02/1961;0000;;28.8;;;2.6;20.76;81;3.333333;
83630;05/02/1961;1200;31.6;;16.2;;;;;;
83630;06/02/1961;0000;;28.8;;;3.2;21.88;75.75;1.333333;
83630;06/02/1961;1200;3.4;;17;;;;;;
83630;07/02/1961;0000;;30.6;;;3.3;23.72;73.5;2;
83630;07/02/1961;1200;0;;18.6;;;;;;
83630;08/02/1961;0000;;29;;;3.2;22.44;87.75;2;
83630;08/02/1961;1200;3.6;;17.8;;;;;;
83630;09/02/1961;0000;;30;;;2;22.44;81.75;1.333333;
83630;09/02/1961;1200;1.7;;17.2;;;;;;
83630;10/02/1961;0000;;29.2;;;2.5;22.38;78.25;2;
83630;10/02/1961;1200;13;;17.5;;;;;;
83630;11/02/1961;0000;;28.2;;;2.5;21.92;90.75;3.333333;
83630;11/02/1961;1200;1.3;;17.8;;;;;;
83630;12/02/1961;0000;;26.2;;;1;20.84;89.25;2.666667;
83630;12/02/1961;1200;5.5;;18;;;;;;
83630;13/02/1961;0000;;27.6;;;1.5;18.76;96.25;2;
83630;13/02/1961;1200;22.7;;15.4;;;;;;
83630;14/02/1961;0000;;21;;;0.3;17.12;91;4.466667;
83630;14/02/1961;1200;88.9;;14.8;;;;;;
83630;15/02/1961;0000;;23.8;;;1.4;18.84;87;5.333333;
83630;15/02/1961;1200;2.6;;14.8;;;;;;
83630;16/02/1961;0000;;23.8;;;2;18.94;94.75;4;
83630;16/02/1961;1200;1.1;;16.3;;;;;;
83630;17/02/1961;0000;;24.6;;;2;19.16;92.5;4;
83630;17/02/1961;1200;29.5;;15.8;;;;;;
83630;18/02/1961;0000;;22.8;;;0.2;19.22;91.25;4.666667;
83630;18/02/1961;1200;10.2;;16.5;;;;;;
83630;19/02/1961;0000;;25.8;;;0.8;19.44;92.5;3.333333;
83630;19/02/1961;1200;27.8;;15.8;;;;;;
83630;20/02/1961;0000;;26;;;1.7;19.74;91;3.333333;
83630;20/02/1961;1200;3;;16.6;;;;;;
83630;21/02/1961;0000;;25.8;;;1.3;19.78;91;3.333333;
83630;21/02/1961;1200;33.4;;16.5;;;;;;
83630;22/02/1961;0000;;25.8;;;1.7;20.76;89;2.666667;
83630;22/02/1961;1200;9.8;;17;;;;;;
83630;23/02/1961;0000;;24.6;;;1.3;21.28;86.5;2;
83630;23/02/1961;1200;5.6;;18.4;;;;;;
83630;24/02/1961;0000;;28.4;;;2;21.38;86.25;5.333333;
83630;24/02/1961;1200;46.6;;16.8;;;;;;
83630;25/02/1961;0000;;27.2;;;3.2;21.58;76.5;2;
83630;25/02/1961;1200;1.5;;16.5;;;;;;
83630;26/02/1961;0000;;27.4;;;2.3;22.64;75.75;2.666667;
83630;26/02/1961;1200;0;;19;;;;;;
83630;27/02/1961;0000;;24.6;;;3;20.16;92.75;4;
83630;27/02/1961;1200;0;;17.8;;;;;;
83630;28/02/1961;0000;;28.6;;;1.5;20.5;86.75;3.333333;
83630;28/02/1961;1200;6.8;;17.8;;;;;;
83630;01/03/1961;0000;;28.2;;;3;21.44;82.25;2.666667;
83630;01/03/1961;1200;4.5;;16.4;;;;;;
83630;02/03/1961;0000;;25.8;;;2.5;21.12;86;2;
83630;02/03/1961;1200;0.6;;17.4;;;;;;
83630;03/03/1961;0000;;28.2;;;1.5;22.36;79.75;1.333333;
