<html><head><meta http-equiv="Content-Type" content="text/html; charset=windows-1252">

<title>Estação - 83669</title>
   <!-- FACE BOX -->
   <script src="Esta%C3%A7%C3%A3o%20-%2083669_files/jquery.js" type="text/javascript"></script>
   <link href="Esta%C3%A7%C3%A3o%20-%2083669_files/facebox.css" media="screen" rel="stylesheet" type="text/css">

   <script src="Esta%C3%A7%C3%A3o%20-%2083669_files/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<body><pre>--------------------
BDMEP - INMET
--------------------
Estação           : SAO SIMAO - SP (OMM: 83669)
Latitude  (graus) : -21.48
Longitude (graus) : -47.55
Altitude  (metros): 617.39
Estação Operante
Inicio de operação: 01/01/1920
Periodo solicitado dos dados: 01/01/1900 a 01/06/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <a href="http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html" target="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83669;01/01/1961;0000;;26.7;;1.8;2;22.1;91.5;2.333333;
83669;01/01/1961;1200;;;19.8;;;;;;
83669;02/01/1961;0000;;23.2;;0;1;21.38;95.75;0.666667;
83669;02/01/1961;1200;22.2;;20.6;;;;;;
83669;03/01/1961;0000;;28.5;;4.8;0.5;23.12;87.75;1.333333;
83669;03/01/1961;1200;7.2;;20.6;;;;;;
83669;04/01/1961;0000;;24.2;;0;1.6;21.96;94;1;
83669;04/01/1961;1200;0.1;;21;;;;;;
83669;05/01/1961;0000;;30;;3.8;0.6;23.34;85;0.666667;
83669;05/01/1961;1200;11;;20.4;;;;;;
83669;06/01/1961;0000;;26.2;;0.9;1.5;22.12;94.25;2.333333;
83669;06/01/1961;1200;5.9;;20.6;;;;;;
83669;07/01/1961;0000;;27.8;;2.1;0.6;22.6;88.25;2;
83669;07/01/1961;1200;18.1;;19.6;;;;;;
83669;08/01/1961;0000;;28.2;;1.5;1;23.62;86.25;0.666667;
83669;08/01/1961;1200;26.3;;20.2;;;;;;
83669;09/01/1961;0000;;28.4;;3.9;1.8;23.62;92.5;2;
83669;09/01/1961;1200;35.1;;21.1;;;;;;
83669;10/01/1961;0000;;29.6;;5.6;1.1;24.16;76.5;2.333333;
83669;10/01/1961;1200;30.6;;21.2;;;;;;
83669;11/01/1961;0000;;28.8;;5.4;2.5;23.28;88.25;1;
83669;11/01/1961;1200;0;;20.3;;;;;;
83669;12/01/1961;0000;;30.6;;11.6;2;23.76;76.75;3.333333;
83669;12/01/1961;1200;0.4;;19.4;;;;;;
83669;13/01/1961;0000;;28.9;;5.9;3.6;23.06;85.5;2.666667;
83669;13/01/1961;1200;9.8;;20;;;;;;
