<html><head><meta http-equiv="Content-Type" content="text/html; charset=windows-1252">

<title>Estação - 83676</title>
   <!-- FACE BOX -->
   <script src="Esta%C3%A7%C3%A3o%20-%2083676_files/jquery.js" type="text/javascript"></script>
   <link href="Esta%C3%A7%C3%A3o%20-%2083676_files/facebox.css" media="screen" rel="stylesheet" type="text/css">

   <script src="Esta%C3%A7%C3%A3o%20-%2083676_files/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<body><pre>--------------------
BDMEP - INMET
--------------------
Estação           : CATANDUVA - SP (OMM: 83676)
Latitude  (graus) : -21.11
Longitude (graus) : -48.93
Altitude  (metros): 570.00
Estação Operante
Inicio de operação: 01/08/1936
Periodo solicitado dos dados: 01/01/1900 a 01/06/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <a href="http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html" target="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83676;01/01/1961;0000;;28.3;;2.8;;23.16;90.25;3.666667;
83676;01/01/1961;1200;;;19.8;;;;;;
83676;02/01/1961;0000;;24.6;;0;1.4;22.62;91.5;2;
83676;02/01/1961;1200;12;;20.9;;;;;;
83676;03/01/1961;0000;;28.9;;3.2;0.8;23.86;93;2.333333;
83676;03/01/1961;1200;12.5;;20.8;;;;;;
83676;04/01/1961;0000;;25.6;;0.9;1;22.76;93;2.333333;
83676;04/01/1961;1200;45.4;;21.4;;;;;;
83676;05/01/1961;0000;;30.6;;7.3;0.5;25.2;80;1.666667;
83676;05/01/1961;1200;3.8;;21.1;;;;;;
83676;06/01/1961;0000;;28.4;;2.6;2;23.06;92;3.666667;
83676;06/01/1961;1200;0;;20.1;;;;;;
83676;07/01/1961;0000;;28.9;;2.5;0.7;24.44;85.25;1.666667;
83676;07/01/1961;1200;40.8;;20.4;;;;;;
83676;08/01/1961;0000;;29.1;;1.6;1.2;24.48;87.25;0.333333;
83676;08/01/1961;1200;28.3;;21.1;;;;;;
83676;09/01/1961;0000;;31.5;;8.7;0.9;26.22;79.5;1.333333;
83676;09/01/1961;1200;6.7;;21.9;;;;;;
83676;10/01/1961;0000;;30.3;;5.3;2;24.34;86;3.666667;
83676;10/01/1961;1200;42;;21.6;;;;;;
83676;11/01/1961;0000;;31.9;;6;1.5;24.12;84.75;0.666667;
83676;11/01/1961;1200;1;;20.6;;;;;;
83676;12/01/1961;0000;;30.4;;9.7;1.1;23.18;87.25;2.666667;
83676;12/01/1961;1200;38.6;;19;;;;;;
83676;13/01/1961;0000;;27.7;;4.7;1.2;23.98;85;0;
83676;13/01/1961;1200;14;;19.8;;;;;;
