<html><head><meta http-equiv="Content-Type" content="text/html; charset=windows-1252">

<title>Estação - 83716</title>
   <!-- FACE BOX -->
   <script src="Esta%C3%A7%C3%A3o%20-%2083716_files/jquery.js" type="text/javascript"></script>
   <link href="Esta%C3%A7%C3%A3o%20-%2083716_files/facebox.css" media="screen" rel="stylesheet" type="text/css">

   <script src="Esta%C3%A7%C3%A3o%20-%2083716_files/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<body><pre>--------------------
BDMEP - INMET
--------------------
Estação           : PRESIDENTE PRUDENTE - SP (OMM: 83716)
Latitude  (graus) : -22.11
Longitude (graus) : -51.38
Altitude  (metros): 435.55
Estação Operante
Inicio de operação: 01/10/1940
Periodo solicitado dos dados: 01/01/1900 a 01/06/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <a href="http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html" target="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83716;01/01/1961;0000;;25.6;;0;0.6;22.52;98;2.333333;
83716;01/01/1961;1200;;;19;;;;;;
83716;02/01/1961;0000;;26.5;;1.4;2;22.82;97.25;2.333333;
83716;02/01/1961;1200;70.2;;18;;;;;;
83716;03/01/1961;0000;;30.2;;6.7;2;24.5;93.5;2;
83716;03/01/1961;1200;26;;19;;;;;;
83716;04/01/1961;0000;;32;;9.3;0;25.52;86.75;1.733333;
83716;04/01/1961;1200;0;;21;;;;;;
83716;05/01/1961;0000;;31;;4.3;3;25.34;91.75;2.333333;
83716;05/01/1961;1200;12;;20;;;;;;
83716;06/01/1961;0000;;26;;0.6;2;24.2;100;2.333333;
83716;06/01/1961;1200;4.2;;20;;;;;;
83716;07/01/1961;0000;;29.9;;3;0.5;24.46;92.25;2.333333;
83716;07/01/1961;1200;1.2;;19;;;;;;
83716;08/01/1961;0000;;28.5;;3.3;0.5;24.5;100;2;
83716;08/01/1961;1200;5;;20;;;;;;
83716;09/01/1961;0000;;28.5;;4.4;2;25.3;96.25;2;
83716;09/01/1961;1200;14.6;;21;;;;;;
83716;10/01/1961;0000;;27.2;;2.8;2;24.12;92;2.333333;
83716;10/01/1961;1200;1;;20;;;;;;
83716;11/01/1961;0000;;31;;8.1;2;24.56;79.25;2.333333;
83716;11/01/1961;1200;11;;20;;;;;;
83716;12/01/1961;0000;;30.6;;11.6;1;25.24;75.75;2.333333;
83716;12/01/1961;1200;0.7;;19.6;;;;;;
83716;13/01/1961;0000;;30.2;;9;4;25.2;73.75;2.666667;
83716;13/01/1961;1200;1.4;;20;;;;;;
83716;14/01/1961;0000;;30.2;;10.2;3;25.92;90;2.666667;
83716;14/01/1961;1200;0;;20.4;;;;;;
83716;15/01/1961;0000;;30.8;;8.4;3;26.48;86;2;
83716;15/01/1961;1200;0;;21.6;;;;;;
83716;16/01/1961;0000;;32.4;;7.4;3;26.56;82;1.333333;
83716;16/01/1961;1200;0;;21;;;;;;
83716;17/01/1961;0000;;32.8;;10.6;4;27.08;69.75;2.666667;
83716;17/01/1961;1200;0;;21;;;;;;
83716;18/01/1961;0000;;31.4;;5.5;3;26.68;89.25;1.666667;
83716;18/01/1961;1200;1;;21;;;;;;
83716;19/01/1961;0000;;27.3;;5.9;2;25.06;94.75;2;
83716;19/01/1961;1200;5;;20;;;;;;
83716;20/01/1961;0000;;32.4;;6;2.5;24.28;81.25;2.333333;
83716;20/01/1961;1200;20;;16;;;;;;
83716;21/01/1961;0000;;29.7;;5.8;3.5;24.74;92.75;2;
83716;21/01/1961;1200;92;;20;;;;;;
83716;22/01/1961;0000;;32.2;;5;2;26.04;92.5;2.333333;
83716;22/01/1961;1200;0;;21;;;;;;
83716;23/01/1961;0000;;31.5;;11.6;2;25.78;70.75;4.666667;
