<html><head><meta http-equiv="Content-Type" content="text/html; charset=windows-1252">

<title>Estação - 83726</title>
   <!-- FACE BOX -->
   <script src="Esta%C3%A7%C3%A3o%20-%2083726_files/jquery.js" type="text/javascript"></script>
   <link href="Esta%C3%A7%C3%A3o%20-%2083726_files/facebox.css" media="screen" rel="stylesheet" type="text/css">

   <script src="Esta%C3%A7%C3%A3o%20-%2083726_files/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<body><pre>--------------------
BDMEP - INMET
--------------------
Estação           : SAO CARLOS - SP (OMM: 83726)
Latitude  (graus) : -21.96
Longitude (graus) : -47.86
Altitude  (metros): 856.00
Estação Operante
Inicio de operação: 24/09/1939
Periodo solicitado dos dados: 01/01/1900 a 01/06/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <a href="http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html" target="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83726;01/01/1961;0000;;23.7;;;0.9;20.6;93.5;2.666667;
83726;01/01/1961;1200;;;17.9;;;;;;
83726;02/01/1961;0000;;22.2;;;0.6;20.28;97.5;4;
83726;02/01/1961;1200;20.8;;18.8;;;;;;
83726;03/01/1961;0000;;28.3;;;0.6;22.74;83.5;2.666667;
83726;03/01/1961;1200;1.2;;19.3;;;;;;
83726;04/01/1961;0000;;25.8;;;2.2;21.56;93;2;
83726;04/01/1961;1200;20.2;;19;;;;;;
83726;05/01/1961;0000;;28;;;1.4;22.5;86;2;
83726;05/01/1961;1200;6.8;;18.1;;;;;;
83726;06/01/1961;0000;;25.6;;;2;21.14;94;3;
83726;06/01/1961;1200;7.4;;18.1;;;;;;
83726;07/01/1961;0000;;23.6;;;0.9;20.92;92.5;2;
83726;07/01/1961;1200;9.6;;18.2;;;;;;
83726;08/01/1961;0000;;25.6;;;0.7;21.88;88.5;2;
83726;08/01/1961;1200;10.4;;17.9;;;;;;
83726;09/01/1961;0000;;28.2;;;1.4;22.94;88;2;
83726;09/01/1961;1200;3.2;;18.9;;;;;;
83726;10/01/1961;0000;;28.8;;;1.5;22.56;89.25;2.666667;
83726;10/01/1961;1200;0.5;;19.9;;;;;;
83726;11/01/1961;0000;;28;;;3.7;23.64;84.25;2.333333;
83726;11/01/1961;1200;0;;19.2;;;;;;
83726;12/01/1961;0000;;29.2;;;2.5;22.38;84.25;3;
83726;12/01/1961;1200;0;;16.9;;;;;;
83726;13/01/1961;0000;;25.4;;;4.2;20.48;87.5;2;
83726;13/01/1961;1200;9.4;;12.3;;;;;;
83726;14/01/1961;0000;;28;;;1.8;22.74;85.75;2.666667;
83726;14/01/1961;1200;10.2;;17.3;;;;;;
83726;15/01/1961;0000;;29;;;2.8;23.22;82.5;2.666667;
83726;15/01/1961;1200;0;;18.8;;;;;;
83726;16/01/1961;0000;;28;;;2.9;23.12;80.25;3.666667;
83726;16/01/1961;1200;11;;18;;;;;;
83726;17/01/1961;0000;;28;;;4.1;22.2;89;3;
83726;17/01/1961;1200;0;;18.2;;;;;;
83726;18/01/1961;0000;;29.4;;;3;24.68;76.25;2;
83726;18/01/1961;1200;32.1;;18.4;;;;;;
83726;19/01/1961;0000;;27.8;;;4;23.04;85.75;2;
83726;19/01/1961;1200;0;;19.1;;;;;;
83726;20/01/1961;0000;;28.2;;;2.3;22.02;91;2;
83726;20/01/1961;1200;8.9;;19.3;;;;;;
83726;21/01/1961;0000;;28.4;;;2.3;22.66;89.75;1.666667;
83726;21/01/1961;1200;16.4;;18.7;;;;;;
83726;22/01/1961;0000;;29.6;;;1.9;24.68;69.25;2.333333;
83726;22/01/1961;1200;1.6;;18.2;;;;;;
83726;23/01/1961;0000;;26.6;;;2.8;22.28;93.75;2;
83726;23/01/1961;1200;0;;18.8;;;;;;
83726;24/01/1961;0000;;28.8;;;1.9;23.02;88.75;2.333333;
83726;24/01/1961;1200;13;;18.3;;;;;;
83726;25/01/1961;0000;;29;;;2.7;22.94;85.25;2.333333;
83726;25/01/1961;1200;0;;18.3;;;;;;
83726;26/01/1961;0000;;26.4;;;2.7;21.1;87.25;4.666667;
83726;26/01/1961;1200;1;;17.3;;;;;;
83726;27/01/1961;0000;;22.1;;;4.6;18.54;83.5;5;
83726;27/01/1961;1200;0;;15.8;;;;;;
83726;28/01/1961;0000;;22.4;;;2.4;19.86;78.5;3;
83726;28/01/1961;1200;0;;15.3;;;;;;
83726;29/01/1961;0000;;23.6;;;1.3;19.84;89.25;2;
83726;29/01/1961;1200;0;;16.3;;;;;;
83726;30/01/1961;0000;;27.4;;;0.9;22.12;79;2.333333;
83726;30/01/1961;1200;3;;17.2;;;;;;
83726;31/01/1961;0000;;27.6;;;2.7;22.1;77.25;2;
83726;31/01/1961;1200;0;;18.2;;;;;;
83726;01/02/1961;0000;;27.8;;;2.3;22.82;81;2.666667;
83726;01/02/1961;1200;8.8;;17.9;;;;;;
83726;02/02/1961;0000;;29.4;;;2.8;23.1;72.75;2;
83726;02/02/1961;1200;2.6;;18.3;;;;;;
83726;03/02/1961;0000;;30;;;3;23.84;78.75;2.666667;
83726;03/02/1961;1200;2.2;;18.2;;;;;;
83726;04/02/1961;0000;;28.6;;;2.4;23;81.25;2.666667;
83726;04/02/1961;1200;26.4;;18;;;;;;
83726;05/02/1961;0000;;27;;;2.2;21.46;81.5;3;
83726;05/02/1961;1200;5.4;;17.3;;;;;;
83726;06/02/1961;0000;;28.2;;;2.3;22.28;76.75;2.666667;
83726;06/02/1961;1200;4.2;;18.1;;;;;;
83726;07/02/1961;0000;;31.6;;;3.3;24.18;72.75;2.333333;
83726;07/02/1961;1200;0.6;;18.5;;;;;;
83726;08/02/1961;0000;;29;;;4.6;23.84;79.5;2.333333;
83726;08/02/1961;1200;0;;19.4;;;;;;
83726;09/02/1961;0000;;30;;;2.9;23.9;69.75;3;
83726;09/02/1961;1200;17.2;;19.3;;;;;;
83726;10/02/1961;0000;;28.9;;;2.7;23.32;75.75;2.666667;
83726;10/02/1961;1200;16.9;;18.5;;;;;;
83726;11/02/1961;0000;;27;;;2.4;22.64;88.25;3;
83726;11/02/1961;1200;1.6;;19.2;;;;;;
83726;12/02/1961;0000;;27.1;;;0.9;21.54;88.5;2.333333;
83726;12/02/1961;1200;75.2;;17.8;;;;;;
83726;13/02/1961;0000;;22;;;1.5;19;89.75;3;
83726;13/02/1961;1200;14.6;;17;;;;;;
83726;14/02/1961;0000;;25.1;;;1;20.86;72.5;4.333333;
83726;14/02/1961;1200;2.6;;16.2;;;;;;
83726;15/02/1961;0000;;24;;;3;19.32;82.5;4;
83726;15/02/1961;1200;0;;13;;;;;;
83726;16/02/1961;0000;;24;;;2.1;20.24;89;3;
83726;16/02/1961;1200;2.3;;16.8;;;;;;
83726;17/02/1961;0000;;23.4;;;1.4;19.22;75.25;3.666667;
83726;17/02/1961;1200;1.8;;15;;;;;;
83726;18/02/1961;0000;;24.9;;;1.1;20.56;91;3;
83726;18/02/1961;1200;5.4;;17.5;;;;;;
83726;19/02/1961;0000;;25.4;;;1.6;20.16;87.75;3;
83726;19/02/1961;1200;8;;17.2;;;;;;
83726;20/02/1961;0000;;26.4;;;1.6;21.36;84.25;2.666667;
83726;20/02/1961;1200;18.4;;16.3;;;;;;
83726;21/02/1961;0000;;27;;;1.3;21.82;82;2.666667;
83726;21/02/1961;1200;4.8;;17.5;;;;;;
83726;22/02/1961;0000;;27.6;;;2.9;22.06;81;2.666667;
83726;22/02/1961;1200;0.2;;18.8;;;;;;
83726;23/02/1961;0000;;22;;;2;20;93.75;2;
83726;23/02/1961;1200;46;;18.2;;;;;;
83726;24/02/1961;0000;;25;;;0.9;20.88;78.25;3;
83726;24/02/1961;1200;10;;18.2;;;;;;
83726;25/02/1961;0000;;27.4;;;2.6;22.8;79;3.333333;
83726;25/02/1961;1200;3;;17.8;;;;;;
83726;26/02/1961;0000;;28;;;1.5;23.08;83;2.666667;
83726;26/02/1961;1200;0;;19.8;;;;;;
83726;27/02/1961;0000;;24.4;;;3.1;21.62;86.25;1.666667;
83726;27/02/1961;1200;5.4;;19.9;;;;;;
83726;28/02/1961;0000;;25.1;;;1.5;21.8;88;2.333333;
83726;28/02/1961;1200;1;;18.8;;;;;;
83726;01/03/1961;0000;;25;;;1.4;20.1;87.75;3;
83726;01/03/1961;1200;3.4;;17.3;;;;;;
83726;02/03/1961;0000;;25.5;;;1.8;21.42;75.75;2.666667;
83726;02/03/1961;1200;0.2;;16;;;;;;
83726;03/03/1961;0000;;30.4;;;3.2;23.32;65.75;2.666667;
83726;03/03/1961;1200;0;;14.9;;;;;;
83726;04/03/1961;0000;;31;;;6;23.72;64;2.666667;
83726;04/03/1961;1200;0;;16.6;;;;;;
83726;05/03/1961;0000;;31.6;;;7.5;23.84;75.75;3;
83726;05/03/1961;1200;0;;19.6;;;;;;
83726;06/03/1961;0000;;26.6;;;5.6;21.18;75;3.666667;
83726;06/03/1961;1200;0;;17;;;;;;
83726;07/03/1961;0000;;23.6;;;3.1;20.04;92;2;
83726;07/03/1961;1200;11.2;;17.7;;;;;;
83726;08/03/1961;0000;;24.8;;;0.8;21.26;89.25;2.333333;
83726;08/03/1961;1200;39.8;;18.2;;;;;;
83726;09/03/1961;0000;;27;;;1;22.78;80.75;2.666667;
83726;09/03/1961;1200;3.1;;18.1;;;;;;
83726;10/03/1961;0000;;31.4;;;1.9;25.88;71.5;1.666667;
83726;10/03/1961;1200;0;;18.6;;;;;;
83726;11/03/1961;0000;;30.4;;;2.7;25.06;78;2.333333;
83726;11/03/1961;1200;0.3;;20.1;;;;;;
83726;12/03/1961;0000;;29.8;;;3.4;22.96;80.25;2.666667;
83726;12/03/1961;1200;0;;19.4;;;;;;
83726;13/03/1961;0000;;28.2;;;2.4;22.62;84.5;3;
83726;13/03/1961;1200;18.4;;18.3;;;;;;
83726;14/03/1961;0000;;29.4;;;2.2;23.76;81.5;2;
83726;14/03/1961;1200;34;;19.1;;;;;;
83726;15/03/1961;0000;;29;;;3;22.62;76.5;3.333333;
83726;15/03/1961;1200;11.6;;18.5;;;;;;
83726;16/03/1961;0000;;29;;;2.4;23.82;81.25;1.666667;
83726;16/03/1961;1200;0;;18.2;;;;;;
83726;17/03/1961;0000;;27.6;;;2.4;23.16;83.5;3.666667;
83726;17/03/1961;1200;3.2;;19.8;;;;;;
83726;18/03/1961;0000;;27;;;3.3;22.34;81;1.666667;
83726;18/03/1961;1200;10.6;;18.1;;;;;;
83726;19/03/1961;0000;;24.4;;;2.1;21.12;90.5;2.333333;
83726;19/03/1961;1200;11;;17.9;;;;;;
83726;20/03/1961;0000;;28;;;0.7;22.62;74.5;2.666667;
83726;20/03/1961;1200;16.6;;17.6;;;;;;
83726;21/03/1961;0000;;26;;;2.8;21.48;86;2;
83726;21/03/1961;1200;13.6;;18.5;;;;;;
83726;22/03/1961;0000;;29.4;;;2.1;24.28;73.75;2.666667;
83726;22/03/1961;1200;0;;18.1;;;;;;
83726;23/03/1961;0000;;30;;;3.6;24.46;70.25;2.666667;
83726;23/03/1961;1200;0;;19.5;;;;;;
83726;24/03/1961;0000;;29;;;4.2;24.46;56.75;2.666667;
83726;24/03/1961;1200;0;;18.9;;;;;;
83726;25/03/1961;0000;;30;;;4.9;23.9;67.25;2.333333;
83726;25/03/1961;1200;0;;17.9;;;;;;
83726;26/03/1961;0000;;29.8;;;4.4;22.76;66.75;2.666667;
83726;26/03/1961;1200;0;;17.8;;;;;;
83726;27/03/1961;0000;;26.6;;;4.1;19.36;75.25;5.666667;
83726;27/03/1961;1200;0;;15.8;;;;;;
83726;28/03/1961;0000;;23;;;4.6;17.78;67.25;4.333333;
83726;28/03/1961;1200;0;;13.1;;;;;;
83726;29/03/1961;0000;;24.2;;;4.4;18.1;56.25;3.333333;
83726;29/03/1961;1200;0;;11.3;;;;;;
83726;30/03/1961;0000;;24.1;;;4.6;18.58;52.75;2.666667;
83726;30/03/1961;1200;0;;12.2;;;;;;
83726;31/03/1961;0000;;25;;;4.4;19.42;54.25;2.666667;
83726;31/03/1961;1200;0;;12.9;;;;;;
83726;01/04/1961;0000;;27;;;6.7;20.28;56.5;2.666667;
83726;01/04/1961;1200;0;;14.8;;;;;;
83726;02/04/1961;0000;;26.8;;;5.7;21.66;59.25;2.666667;
83726;02/04/1961;1200;0;;15.3;;;;;;
83726;03/04/1961;0000;;23;;;4;20.18;84.25;3;
83726;03/04/1961;1200;0;;17.5;;;;;;
83726;04/04/1961;0000;;24.2;;;2.6;20.14;93.75;4;
83726;04/04/1961;1200;0.6;;18;;;;;;
83726;05/04/1961;0000;;26.4;;;1.4;20.66;85;3.666667;
83726;05/04/1961;1200;26.8;;17.4;;;;;;
83726;06/04/1961;0000;;23.6;;;1.6;19.32;86.75;1.333333;
83726;06/04/1961;1200;1.9;;16.4;;;;;;
83726;07/04/1961;0000;;26.4;;;1.4;20.66;78.25;3;
83726;07/04/1961;1200;0;;15.9;;;;;;
83726;08/04/1961;0000;;28.4;;;2.9;22.44;70.25;3.333333;
83726;08/04/1961;1200;0;;16.2;;;;;;
83726;09/04/1961;0000;;29.4;;;3.2;23.36;70.5;2.666667;
83726;09/04/1961;1200;0;;18.2;;;;;;
83726;10/04/1961;0000;;29.8;;;3.4;23.54;73.75;2.333333;
83726;10/04/1961;1200;0;;17.9;;;;;;
83726;11/04/1961;0000;;28.2;;;3.5;23.18;81;3;
83726;11/04/1961;1200;0;;18.9;;;;;;
83726;12/04/1961;0000;;31.4;;;3.3;25.68;57.5;2.333333;
83726;12/04/1961;1200;0.4;;18.6;;;;;;
83726;13/04/1961;0000;;30.4;;;4.2;25.32;59.5;2;
83726;13/04/1961;1200;0;;18.4;;;;;;
83726;14/04/1961;0000;;31.6;;;4.2;25.24;59.75;2.666667;
83726;14/04/1961;1200;0;;18.6;;;;;;
83726;15/04/1961;0000;;30.4;;;4.5;26.32;45.25;2.666667;
83726;15/04/1961;1200;0;;18.8;;;;;;
83726;16/04/1961;0000;;28.6;;;4.7;23.22;61.25;3;
83726;16/04/1961;1200;0;;18.5;;;;;;
83726;17/04/1961;0000;;28.5;;;5.4;22.44;66.5;3;
83726;17/04/1961;1200;0;;16.8;;;;;;
83726;18/04/1961;0000;;28.2;;;4.4;22.6;70.75;2.666667;
83726;18/04/1961;1200;0;;17.4;;;;;;
83726;19/04/1961;0000;;25.4;;;5.3;19.92;80;4.333333;
83726;19/04/1961;1200;0;;17.2;;;;;;
83726;20/04/1961;0000;;23;;;2.7;19.24;70.75;2.666667;
83726;20/04/1961;1200;0;;13.6;;;;;;
83726;21/04/1961;0000;;23;;;2.5;18.76;88.25;2;
83726;21/04/1961;1200;0.3;;15.8;;;;;;
83726;22/04/1961;0000;;27.4;;;1.5;20.8;68;2.333333;
83726;22/04/1961;1200;0;;13.5;;;;;;
83726;23/04/1961;0000;;24;;;3.2;19.8;89.25;2;
83726;23/04/1961;1200;0.3;;17.1;;;;;;
83726;24/04/1961;0000;;26.4;;;1.5;21.7;74.75;1.733333;
83726;24/04/1961;1200;0;;16.5;;;;;;
83726;25/04/1961;0000;;26.6;;;2.6;20.76;84.75;2.333333;
83726;25/04/1961;1200;7.2;;17.8;;;;;;
83726;26/04/1961;0000;;23.4;;;1.7;18.64;88.25;2;
83726;26/04/1961;1200;15.6;;16.2;;;;;;
83726;27/04/1961;0000;;24;;;1;18.12;73.25;2;
83726;27/04/1961;1200;0;;12.8;;;;;;
83726;28/04/1961;0000;;25.2;;;2.6;19;60;2.666667;
83726;28/04/1961;1200;0;;11.2;;;;;;
83726;29/04/1961;0000;;25.4;;;3.4;18.58;60.5;2.666667;
83726;29/04/1961;1200;0;;13.3;;;;;;
83726;30/04/1961;0000;;27;;;3.9;19.58;65.25;3.666667;
83726;30/04/1961;1200;0;;12.3;;;;;;
83726;01/05/1961;0000;;27.4;;;3.9;20.68;63.25;3;
83726;01/05/1961;1200;0;;13.8;;;;;;
83726;02/05/1961;0000;;25.6;;;3.9;20.36;74;3.666667;
83726;02/05/1961;1200;0;;14.8;;;;;;
83726;03/05/1961;0000;;25.2;;;2.6;19.64;88.25;2.666667;
83726;03/05/1961;1200;14.6;;16.6;;;;;;
83726;04/05/1961;0000;;22.6;;;1.6;16.84;91.5;3.666667;
83726;04/05/1961;1200;46;;14.6;;;;;;
83726;05/05/1961;0000;;23.4;;;0.5;18.56;81.25;2;
83726;05/05/1961;1200;9;;13;;;;;;
83726;06/05/1961;0000;;25.2;;;1.4;19.76;79.75;2.666667;
83726;06/05/1961;1200;0;;14;;;;;;
83726;07/05/1961;0000;;27;;;3.3;21.12;78;2.333333;
83726;07/05/1961;1200;0;;15.6;;;;;;
83726;08/05/1961;0000;;22.4;;;5;19.42;85.5;2;
83726;08/05/1961;1200;0;;16.2;;;;;;
83726;09/05/1961;0000;;21.7;;;1.1;19.18;89;2.333333;
83726;09/05/1961;1200;0.2;;16.6;;;;;;
83726;10/05/1961;0000;;25;;;0.8;20.92;68;3;
83726;10/05/1961;1200;0;;15;;;;;;
83726;11/05/1961;0000;;25.4;;;2.3;19.26;76.5;3;
83726;11/05/1961;1200;0;;13.5;;;;;;
83726;12/05/1961;0000;;25.2;;;3.1;19.62;79;4;
83726;12/05/1961;1200;0;;13.8;;;;;;
83726;13/05/1961;0000;;25.4;;;3.3;18.9;77.75;3.333333;
83726;13/05/1961;1200;0;;13.3;;;;;;
83726;14/05/1961;0000;;27;;;4;19.4;77.25;2.666667;
83726;14/05/1961;1200;0;;13;;;;;;
83726;15/05/1961;0000;;25.4;;;3.2;19.6;67.5;3.666667;
83726;15/05/1961;1200;0;;13.4;;;;;;
83726;16/05/1961;0000;;26.4;;;4.3;19.98;63.75;2.666667;
83726;16/05/1961;1200;0;;14.3;;;;;;
83726;17/05/1961;0000;;26.2;;;3.5;20.08;62.25;3;
83726;17/05/1961;1200;0;;15;;;;;;
83726;18/05/1961;0000;;25.4;;;3.6;20.72;69.5;2.666667;
83726;18/05/1961;1200;0;;15.2;;;;;;
83726;19/05/1961;0000;;23.9;;;4;18.82;70.5;3.333333;
83726;19/05/1961;1200;0;;14.1;;;;;;
83726;20/05/1961;0000;;20.4;;;2.7;16.28;60.5;3.666667;
83726;20/05/1961;1200;0;;12.4;;;;;;
83726;21/05/1961;0000;;24;;;2.6;16.86;69;3;
83726;21/05/1961;1200;0;;8.3;;;;;;
83726;22/05/1961;0000;;25.4;;;2.7;18.84;70.75;3.333333;
83726;22/05/1961;1200;0;;11.9;;;;;;
83726;23/05/1961;0000;;24.2;;;3.3;18.36;80.25;2.333333;
83726;23/05/1961;1200;6;;15.2;;;;;;
