<html><head><meta http-equiv="Content-Type" content="text/html; charset=windows-1252">

<title>Estação - 83773</title>
   <!-- FACE BOX -->
   <script src="Esta%C3%A7%C3%A3o%20-%2083773_files/jquery.js" type="text/javascript"></script>
   <link href="Esta%C3%A7%C3%A3o%20-%2083773_files/facebox.css" media="screen" rel="stylesheet" type="text/css">

   <script src="Esta%C3%A7%C3%A3o%20-%2083773_files/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<body><pre>--------------------
BDMEP - INMET
--------------------
Estação           : AVARE - SP (OMM: 83773)
Latitude  (graus) : -23.08
Longitude (graus) : -48.91
Altitude  (metros): 854.00
Estação Operante
Inicio de operação: 01/01/1905
Periodo solicitado dos dados: 01/01/1900 a 01/06/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <a href="http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html" target="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83773;05/01/1968;0000;;27.2;;12.4;;19.38;60.25;3.333333;
83773;05/01/1968;1200;;;12.9;;;;;;
83773;06/01/1968;0000;;27.4;;12.8;4.5;19.62;56.75;2;
83773;06/01/1968;1200;0;;13.1;;;;;;
83773;07/01/1968;0000;;28.6;;12.8;6;19.62;65.5;2.666667;
83773;07/01/1968;1200;0;;12.9;;;;;;
83773;08/01/1968;0000;;29.6;;9.6;3.7;21.3;62.25;2.333333;
83773;08/01/1968;1200;0;;13.7;;;;;;
83773;09/01/1968;0000;;31.2;;12;3.8;23.02;60.25;1;
83773;09/01/1968;1200;0;;15.3;;;;;;
83773;10/01/1968;0000;;28.8;;2.8;3.5;23.14;68.5;1;
83773;10/01/1968;1200;0;;19.1;;;;;;
83773;11/01/1968;0000;;22.8;;0;0.7;19.74;90.75;1.333333;
83773;11/01/1968;1200;0;;17.9;;;;;;
83773;12/01/1968;0000;;23.6;;0.7;0.8;19.94;93.25;4.333333;
83773;12/01/1968;1200;12.2;;17.9;;;;;;
83773;13/01/1968;0000;;27.8;;7;0.8;21.98;82;2;
83773;13/01/1968;1200;35.6;;18.7;;;;;;
83773;14/01/1968;0000;;29.6;;7.9;2.7;21.74;82.5;6.666667;
83773;14/01/1968;1200;0;;19.1;;;;;;
83773;15/01/1968;0000;;26;;2.4;3.2;21.86;80.5;2;
83773;15/01/1968;1200;17;;18.9;;;;;;
83773;16/01/1968;0000;;25.8;;0.8;2.1;21.98;83.25;3.666667;
83773;16/01/1968;1200;9.4;;19.3;;;;;;
83773;17/01/1968;0000;;25.4;;1.4;1.7;22.18;68;4;
83773;17/01/1968;1200;9.8;;17.7;;;;;;
83773;18/01/1968;0000;;23.8;;0.5;1.8;20.66;90.75;2.666667;
83773;18/01/1968;1200;20;;18.9;;;;;;
83773;19/01/1968;0000;;27.6;;5.4;0.7;22.26;83;2.666667;
83773;19/01/1968;1200;15.2;;18.7;;;;;;
83773;20/01/1968;0000;;28.6;;5.1;2.2;21.86;88.5;2.666667;
83773;20/01/1968;1200;3;;18.9;;;;;;
83773;21/01/1968;0000;;28.8;;5.1;2.2;21.66;80;2.666667;
83773;21/01/1968;1200;21.1;;19.1;;;;;;
83773;22/01/1968;0000;;25.6;;0.3;0.5;20.6;85.5;0.333333;
83773;22/01/1968;1200;45;;17.6;;;;;;
83773;23/01/1968;0000;;23;;0.3;0.5;19.4;90.75;1.666667;
83773;23/01/1968;1200;10.8;;18.2;;;;;;
83773;24/01/1968;0000;;25.6;;4.3;1.7;20.08;89.75;2.666667;
83773;24/01/1968;1200;22.7;;17.6;;;;;;
83773;25/01/1968;0000;;30;;11.2;0.6;23.5;65.5;3.666667;
83773;25/01/1968;1200;3.3;;18.1;;;;;;
83773;26/01/1968;0000;;31.2;;9.3;4;23.86;60.25;0.333333;
83773;26/01/1968;1200;0;;17.9;;;;;;
83773;27/01/1968;0000;;31.6;;11;3;24.14;62.5;0;
83773;27/01/1968;1200;0;;18.7;;;;;;
83773;28/01/1968;0000;;32.6;;9.5;4.8;25.22;57;0.666667;
83773;28/01/1968;1200;0;;19.5;;;;;;
83773;29/01/1968;0000;;32.6;;10.5;;25.46;57.25;1.333333;
83773;29/01/1968;1200;0;;19.7;;;;;;
83773;30/01/1968;0000;;31.8;;11.8;;23.86;62.75;4.333333;
83773;30/01/1968;1200;0;;19.1;;;;;;
83773;31/01/1968;0000;;27;;5.9;;20.36;76;7.666667;
83773;31/01/1968;1200;0;;18;;;;;;
83773;01/02/1968;0000;;22.6;;1.5;3.2;17.84;67.5;9;
83773;01/02/1968;1200;0;;16.2;;;;;;
83773;02/02/1968;0000;;26.8;;7.1;2.7;18.94;62.75;7.666667;
83773;02/02/1968;1200;0;;13.9;;;;;;
83773;03/02/1968;0000;;27.8;;11.7;4.2;20.08;62.25;3.333333;
83773;03/02/1968;1200;0;;13.8;;;;;;
83773;04/02/1968;0000;;28.8;;10;0.5;21.02;62.5;2.666667;
83773;04/02/1968;1200;0;;14.1;;;;;;
83773;05/02/1968;0000;;29.6;;9.7;3.4;21.8;63.5;2;
83773;05/02/1968;1200;0;;14.4;;;;;;
83773;06/02/1968;0000;;30;;10;4.3;22.24;69.5;2;
83773;06/02/1968;1200;0;;15.2;;;;;;
83773;07/02/1968;0000;;30;;9.9;3.8;22.88;64.5;2.666667;
83773;07/02/1968;1200;0;;16.2;;;;;;
83773;08/02/1968;0000;;31.4;;9.8;3.5;23.42;55.5;4.333333;
83773;08/02/1968;1200;0;;16.7;;;;;;
83773;09/02/1968;0000;;31;;7.4;2.7;24.06;58;2.666667;
83773;09/02/1968;1200;0;;16.7;;;;;;
83773;10/02/1968;0000;;32.2;;12.2;0.5;25.28;61.25;3.333333;
83773;10/02/1968;1200;1;;19.2;;;;;;
83773;11/02/1968;0000;;31;;9.8;5.4;23.9;71.75;2.666667;
83773;11/02/1968;1200;0;;19.3;;;;;;
83773;12/02/1968;0000;;31.6;;9.5;4.6;23.86;68.75;4;
83773;12/02/1968;1200;0.2;;19.7;;;;;;
83773;13/02/1968;0000;;28.4;;1.8;3.2;22.92;82;3.333333;
83773;13/02/1968;1200;0;;20.4;;;;;;
83773;14/02/1968;0000;;25.2;;1.2;2.3;21.76;86.75;2.666667;
83773;14/02/1968;1200;6.7;;19.2;;;;;;
83773;15/02/1968;0000;;24.8;;1.6;1.5;21.16;89.5;3.333333;
83773;15/02/1968;1200;5.5;;20.2;;;;;;
83773;16/02/1968;0000;;28.8;;11.1;1.7;21.96;72;2.666667;
83773;16/02/1968;1200;2.1;;17.4;;;;;;
83773;17/02/1968;0000;;29.2;;10.1;0.5;21.22;70.25;3.333333;
83773;17/02/1968;1200;0;;15.3;;;;;;
83773;18/02/1968;0000;;27;;11.8;5.4;20.06;60.75;5.666667;
83773;18/02/1968;1200;0;;15.9;;;;;;
83773;19/02/1968;0000;;29;;11.2;2.9;20.82;57;4.333333;
83773;19/02/1968;1200;0;;15.1;;;;;;
83773;20/02/1968;0000;;28.4;;8.9;4.4;20.8;65.25;4.333333;
83773;20/02/1968;1200;0;;15.6;;;;;;
83773;21/02/1968;0000;;25;;1.2;3;19.96;80.75;1;
83773;21/02/1968;1200;0;;16.4;;;;;;
83773;22/02/1968;0000;;27.6;;8.4;1.8;21.68;87.75;3.666667;
83773;22/02/1968;1200;2.2;;17.8;;;;;;
83773;23/02/1968;0000;;28.4;;7.3;2.2;21.4;81.5;2.666667;
83773;23/02/1968;1200;6;;17.4;;;;;;
83773;24/02/1968;0000;;25;;2.3;0.5;20.4;77.25;3.333333;
83773;24/02/1968;1200;25.3;;18.4;;;;;;
83773;25/02/1968;0000;;24.6;;4.8;1.3;18.58;77.75;6.333333;
83773;25/02/1968;1200;0.8;;15.9;;;;;;
83773;26/02/1968;0000;;25.8;;9.9;2.7;18.32;68.25;6.333333;
83773;26/02/1968;1200;0;;14.4;;;;;;
83773;27/02/1968;0000;;28.8;;9.2;3.7;20.22;71;1;
83773;27/02/1968;1200;0;;14.7;;;;;;
83773;28/02/1968;0000;;29.4;;9.6;2.6;21.74;61;1;
83773;28/02/1968;1200;0;;16.3;;;;;;
83773;29/02/1968;0000;;29.6;;11.9;4.9;21.74;;3;
83773;29/02/1968;1200;0;;16.3;;;;;;
83773;01/03/1968;0000;;28.6;;;4.3;20.02;69;4.333333;
83773;01/03/1968;1200;0;;14.9;;;;;;
83773;02/03/1968;0000;;29.2;;;0.5;20.06;65.75;3;
83773;02/03/1968;1200;0;;13.7;;;;;;
83773;03/03/1968;0000;;30.4;;;3.4;21.34;72.75;4.666667;
83773;03/03/1968;1200;0;;16.1;;;;;;
83773;04/03/1968;0000;;29;;;3.6;20.92;78.25;4.333333;
83773;04/03/1968;1200;0;;15.4;;;;;;
83773;05/03/1968;0000;;25.6;;;3;20.46;87.75;2;
83773;05/03/1968;1200;12.3;;17.9;;;;;;
83773;06/03/1968;0000;;25.6;;2.4;2.3;21.82;81.25;1;
83773;06/03/1968;1200;10.7;;18.9;;;;;;
83773;07/03/1968;0000;;22.6;;0;1.8;20.46;91.5;0;
83773;07/03/1968;1200;4.3;;18.9;;;;;;
83773;08/03/1968;0000;;27.2;;5.2;0.8;21.54;83.5;0;
83773;08/03/1968;1200;15.5;;18.3;;;;;;
83773;09/03/1968;0000;;28.6;;1.5;1.8;23.06;78.25;0.333333;
83773;09/03/1968;1200;0.4;;18.9;;;;;;
83773;10/03/1968;0000;;29.6;;7.8;2;23.7;78;1.666667;
83773;10/03/1968;1200;0.2;;20.9;;;;;;
83773;11/03/1968;0000;;29;;6.3;1;22.88;80.5;1;
83773;11/03/1968;1200;8.6;;21.2;;;;;;
83773;12/03/1968;0000;;29.8;;7.2;1.5;22.36;75.25;1;
83773;12/03/1968;1200;0;;18.4;;;;;;
83773;13/03/1968;0000;;27;;2.5;2.5;21.78;86.25;1.666667;
83773;13/03/1968;1200;0.5;;19.3;;;;;;
83773;14/03/1968;0000;;27.8;;9.5;1.2;22.6;84.75;0;
83773;14/03/1968;1200;17.1;;18.4;;;;;;
83773;15/03/1968;0000;;29.8;;10.1;2;23.7;76.25;2;
83773;15/03/1968;1200;1.2;;18.9;;;;;;
83773;16/03/1968;0000;;28;;6.1;3.5;21.52;80.75;3.666667;
83773;16/03/1968;1200;15.4;;19.4;;;;;;
83773;17/03/1968;0000;;20.4;;0.7;2.4;17.38;79.75;7.666667;
83773;17/03/1968;1200;0;;15.9;;;;;;
83773;18/03/1968;0000;;24.8;;10.4;2;17.66;73;7;
83773;18/03/1968;1200;0;;14.5;;;;;;
83773;19/03/1968;0000;;29.6;;9.5;3.2;20.24;77.25;3.333333;
83773;19/03/1968;1200;0;;13.8;;;;;;
83773;20/03/1968;0000;;31;;11;0.5;22.12;68.5;1;
83773;20/03/1968;1200;0;;15.2;;;;;;
83773;21/03/1968;0000;;28.6;;3.6;3.1;21.76;81.25;5;
83773;21/03/1968;1200;0;;19.2;;;;;;
83773;22/03/1968;0000;;27.4;;3.8;3.6;21.86;83.25;1;
83773;22/03/1968;1200;0;;17.9;;;;;;
83773;23/03/1968;0000;;27.6;;2.1;1.6;21.44;83.5;2;
83773;23/03/1968;1200;2.4;;18.4;;;;;;
83773;24/03/1968;0000;;30.8;;10.4;2.4;22.78;75.25;0;
83773;24/03/1968;1200;0;;18.5;;;;;;
83773;25/03/1968;0000;;30;;7.2;3.3;23.06;81;0;
83773;25/03/1968;1200;0;;18.1;;;;;;
83773;26/03/1968;0000;;31.6;;9.6;4.1;24.26;63.5;0;
83773;26/03/1968;1200;0;;18.1;;;;;;
83773;27/03/1968;0000;;30;;9;0.5;23.26;68.25;3;
83773;27/03/1968;1200;0;;18.1;;;;;;
83773;28/03/1968;0000;;27.4;;6.8;3.8;21.48;80.75;5;
83773;28/03/1968;1200;0;;19.8;;;;;;
83773;29/03/1968;0000;;26.8;;6.9;2.5;20.8;77;5;
83773;29/03/1968;1200;0;;17.6;;;;;;
83773;30/03/1968;0000;;29.8;;;2.7;21.62;76.5;2;
83773;30/03/1968;1200;0;;16.5;;;;;;
83773;31/03/1968;0000;;25.8;;;2.9;21.46;79.5;0;
83773;31/03/1968;1200;25;;18.3;;;;;;
83773;01/04/1968;0000;;24.8;;6.2;1.4;18.96;79.75;4.333333;
83773;01/04/1968;1200;0.1;;17.2;;;;;;
83773;02/04/1968;0000;;20.8;;1.9;2.2;16.78;88;3.333333;
83773;02/04/1968;1200;0;;14.7;;;;;;
83773;03/04/1968;0000;;26;;6.7;1;18.98;77.25;0;
83773;03/04/1968;1200;0;;15.3;;;;;;
83773;04/04/1968;0000;;25.8;;6.2;2;20.02;73;0;
83773;04/04/1968;1200;0.1;;14.5;;;;;;
83773;05/04/1968;0000;;25.2;;4.9;0.5;19.72;66.25;1.666667;
83773;05/04/1968;1200;0;;16.6;;;;;;
83773;06/04/1968;0000;;24;;8.1;2;16.82;57;1;
83773;06/04/1968;1200;0.1;;13.9;;;;;;
83773;07/04/1968;0000;;25;;8.7;4.2;15.1;59.75;1;
83773;07/04/1968;1200;0;;8.1;;;;;;
83773;08/04/1968;0000;;25.6;;10;3.3;16.68;63.75;3;
83773;08/04/1968;1200;0;;10.4;;;;;;
83773;09/04/1968;0000;;27.2;;8;3.6;17.66;75.75;1;
83773;09/04/1968;1200;0;;12.1;;;;;;
83773;10/04/1968;0000;;28.2;;8.1;3.1;20.16;66.75;2;
